ID;usefulNameBase;uniqueName;surfaceName;属性;死亡ドロップアイテムID;強特攻耐性;特攻耐性;強元気耐性;元気耐性;強頑強耐性;頑強耐性;強特攻弱点;特攻弱点;強脱力弱点;脱力弱点;強軟弱弱点;軟弱弱点;$/クラス;出現階;経験値;MHP;攻撃力;防御力;デフォルト速度移動;デフォルト速度攻撃;$/メモ;特殊使用率;特殊消費SP;$/メモ;汎用定数一;$/メモ;汎用定数二;$/メモ;汎用定数三;$/メモ;汎用定数四
2068;レティ;レティ;レティ;;0|960;;冷;;;;;;火;;火;;火;CLASS 0;4;15;18;8;3;0;0;部屋全体氷付け;2;50;氷付けターン;5;氷付けダメージ;5;冷属性耐性;50;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;9;33;38;13;8;0;0;;4;25;;5;;10;;50;;0
;;;;;3046|10;;;;;;;;;;;;;CLASS 2;26;145;110;32;15;0;0;;5;20;;8;;15;;50;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;380;165;50;22;0;0;;8;12;;8;;20;;50;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;2200;230;90;25;0;0;;8;10;;10;;30;;50;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;2420;253;99;28;0;0;;8;10;;10;;33;;50;;0
2069;リリー;リリー;リリー;妖精;0|960;;;;;;;;;;冷;;冷;CLASS 0;3;6;14;7;4;0;0;フロアワープ;0;0;;0;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;8;24;35;14;7;0;0;;5;0;;0;;0;;0;;0
;;;;;3048|10;;;;;;;;;;;;;CLASS 2;24;90;100;34;8;0;0;;5;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;40;290;160;50;10;0;0;;5;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;71;1600;240;80;12;0;0;;5;0;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;71;1760;264;88;13;0;0;;5;0;;0;;0;;0;;0
2070;ハタテ;ハタテ;ハタテ;天狗;0|960;;;;;;;;;水;;;水;CLASS 0;5;19;25;12;4;0;0;写真;40;20;射程;2;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;10;36;42;20;12;0;0;;40;15;;3;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;27;180;95;30;18;0;0;;40;10;;5;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;50;700;145;80;25;0;0;;40;7;;7;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;81;2400;210;160;25;0;0;;40;5;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;81;2640;220;176;28;0;0;;40;5;;10;;0;;0;;0
2071;ゾンビフェアリー;ゾンビフェアリー;ゾンビフェアリー;妖精;0|3800;;;;;;;;火;;;;;CLASS 0;3;7;11;7;3;0;0;;0;0;自然回復(ターン毎);1;;0;;0;;0
;;;;;-1|200;;;;;;;;;;;;;CLASS 1;9;19;34;15;6;0;0;;0;0;;2;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;18;65;70;27;9;0;0;;0;0;;4;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;260;125;42;12;0;0;;0;0;;10;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;1400;182;100;15;0;0;;0;0;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;1540;200;110;17;0;0;;0;0;;21;;0;;0;;0
2072;サニーミルク;サニーミルク;サニーミルク;妖精;0|970;;;;;;;;;;;;;CLASS 0;4;9;14;9;3;0;0;ナシ;0;20;汎用定数メモ1;0;汎用定数メモ2;0;汎用定数メモ3;0;汎用定数メモ4;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;28;40;16;8;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;68;70;28;15;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;145;105;36;22;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;800;191;68;25;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;880;210;74;28;0;0;;0;10;;0;;0;;0;;0
2073;ルナチャイルド;ルナチャイルド;ルナチャイルド;妖精;0|970;;;;;;;;;;;;;CLASS 0;4;9;14;9;3;0;0;ナシ;0;20;汎用定数メモ1;0;汎用定数メモ2;0;汎用定数メモ3;0;汎用定数メモ4;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;28;40;16;8;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;68;70;28;15;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;145;105;36;22;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;800;191;68;25;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;880;210;74;28;0;0;;0;10;;0;;0;;0;;0
2074;スターサファイア;スターサファイア;スターサファイア;妖精;0|970;;;;;;;;;;;;;CLASS 0;4;9;14;9;3;0;0;ナシ;0;20;汎用定数メモ1;0;汎用定数メモ2;0;汎用定数メモ3;0;汎用定数メモ4;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;14;28;40;16;8;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;68;70;28;15;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;36;145;105;36;22;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;70;800;191;68;25;0;0;;0;10;;0;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;70;880;210;74;28;0;0;;0;10;;0;;0;;0;;0
2075;キモケイネ;キモケイネ;キモケイネ;妖怪;0|960;;;;;;;;;;;;;CLASS 0;7;34;38;20;5;0;0;突進;30;50;吹き飛び距離;2;吹き飛びダメ;5;ころびアイテム落とし;2;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;19;190;89;39;6;0;0;;30;30;;3;;10;;2;;0
;;;;;3024|10;;;;;;;;;;;;;CLASS 2;43;780;150;78;25;0;0;;30;20;;4;;20;;3;;0
;;;;;;;;;;;;;;;;;;CLASS 3;64;1700;240;98;30;0;0;;30;10;;5;;30;;3;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;3800;290;190;32;0;0;;30;10;;5;;50;;4;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;4180;319;209;35;0;0;;30;10;;5;;55;;4;;0
2076;カセン;カセン;カセン;妖怪;0|970;;;;;;;;;;;;;CLASS 0;7;34;49;22;5;0;0;;100;100;;10;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;19;190;90;60;7;0;0;;100;50;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;50;820;200;130;30;0;0;;100;25;;30;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;72;3000;320;250;35;0;0;;100;20;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;95;9999;430;500;40;0;0;;100;10;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;95;10999;450;520;42;0;0;;100;10;;60;;0;;0;;0
2077;オオワシ;オオワシ;オオワシ;獣;0|970;;;;;;;;火;;;;;CLASS 0;7;17;30;12;5;1;0;;100;100;;10;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;19;80;55;25;6;1;0;;100;100;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;50;400;100;60;10;1;0;;100;100;;30;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;72;900;180;120;15;1;0;;100;100;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;95;2000;220;160;20;1;0;;100;100;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;95;2200;250;180;22;1;0;;100;100;;60;;0;;0;;0
2078;ライジュウ;ライジュウ;ライジュウ;獣;0|970;;雷;;;;;;火;;水;;;CLASS 0;7;17;38;12;5;0;0;;100;100;;10;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;19;80;89;25;6;0;0;;100;100;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;50;400;150;60;22;0;0;;100;100;;30;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;72;900;240;120;28;0;0;;100;100;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;95;2000;290;160;30;0;0;;100;100;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;95;2200;319;180;32;0;0;;100;100;;60;;0;;0;;0
2079;ザコウサギ;ザコウサギ;ザコウサギ;妖怪;0|970;;;;;;;;;;;;;CLASS 0;5;1;2;5;6;0;0;;50;100;;10;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;11;5;6;10;12;0;0;;60;100;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;12;9;20;18;0;0;;70;100;;30;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;70;16;30;25;0;0;;80;100;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;250;24;60;30;0;0;;80;100;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;275;26;70;33;0;0;;80;100;;60;;0;;0;;0
2080;ジバクニンギョウ;ジバクニンギョウ;ジバクニンギョウ;妖怪;0|970;;;;;;;;;;;;;CLASS 0;5;1;2;5;6;0;0;自爆;50;100;自爆ダメージ;10;;0;;0;;0
;;;;;-1|30;;;;;;;;;;;;;CLASS 1;11;5;6;10;12;0;0;;60;100;;20;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 2;23;12;9;20;18;0;0;;70;100;;30;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 3;42;70;16;30;25;0;0;;80;100;;40;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS 4;75;250;24;60;30;0;0;;80;100;;50;;0;;0;;0
;;;;;;;;;;;;;;;;;;CLASS ＥＸ;75;275;26;70;33;0;0;;80;100;;60;;0;;0;;0
